Entity,Code,Year,Domestic aviation CO2 (Mt)
Afghanistan,AFG,2018,55348.48308785787
Algeria,DZA,2018,186925.40628768114
Angola,AGO,2018,68167.74915257005
Argentina,ARG,2018,1545259.6357181622
Australia,AUS,2018,6651930.004
Austria,AUT,2018,32810.66067326672
Azerbaijan,AZE,2018,2739.1791345987663
Bahrain,BHR,2018,0
Bangladesh,BGD,2018,149009.76804998564
Belarus,BLR,2018,0
Belgium,BEL,2018,0
Bolivia,BOL,2018,307597.8473050049
Brazil,BRA,2018,8977614.81959862
Brunei,BRN,2018,0
Bulgaria,BGR,2018,18741.29155195287
Cambodia,KHM,2018,34328.51399186792
Canada,CAN,2018,6238513.116923061
Chile,CHL,2018,1319614.5186275807
China,CHN,2018,64537271.296000004
Colombia,COL,2018,1530767.017088489
Costa Rica,CRI,2018,6805.058468090854
Croatia,HRV,2018,33746.124774341864
Cuba,CUB,2018,41289.75060389259
Czechia,CZE,2018,2482.4766784840967
Democratic Republic of Congo,COD,2018,67447.74919672667
Denmark,DNK,2018,184111.02200000003
Ecuador,ECU,2018,214582.88028287538
Egypt,EGY,2018,155987.6948575699
El Salvador,SLV,2018,0
Ethiopia,ETH,2018,121372.91095191937
European Union,,2018,66858033.633999996
Fiji,FJI,2018,46234.72096403758
Finland,FIN,2018,207012.63736602184
France,FRA,2018,4527702.55
Georgia,GEO,2018,525.4673374830703
Germany,DEU,2018,1527581.6401811242
Greece,GRC,2018,408437.9997400465
Hungary,HUN,2018,188.3366916418128
Iceland,ISL,2018,24036.14128666
India,IND,2018,10783517.503454607
Indonesia,IDN,2018,9205574.215821791
Iran,IRN,2018,1749094.5683521077
Iraq,IRQ,2018,60871.90245535863
Ireland,IRL,2018,4862.6707783296015
Israel,ISR,2018,57137.80342858601
Italy,ITA,2018,2251218.413566506
Japan,JPN,2018,9407669.323478246
Jordan,JOR,2018,5183.161069074843
Kazakhstan,KAZ,2018,632128.2811081667
Kenya,KEN,2018,364882.3553911722
Kuwait,KWT,2018,0
Kyrgyzstan,KGZ,2018,24670.57528452982
Latvia,LVA,2018,745.8684301417545
Lebanon,LBN,2018,0
Libya,LBY,2018,11458.971478772793
Luxembourg,LUX,2018,0
Madagascar,MDG,2018,27413.666008857926
Malaysia,MYS,2018,1900729.0761937036
Malta,MLT,2018,0
Mauritius,MUS,2018,11083.908572639999
Mexico,MEX,2018,5038924.664007433
Moldova,MDA,2018,0
Mongolia,MNG,2018,12732.374565753946
Morocco,MAR,2018,66681.69440154072
Myanmar,MMR,2018,196821.73177301147
Namibia,NAM,2018,28115.72548173788
Nepal,NPL,2018,108583.67030761887
Netherlands,NLD,2018,472545.739
New Zealand,NZL,2018,826176.231
Nigeria,NGA,2018,388392.010045076
Norway,NOR,2018,1116870.7128714917
Oman,OMN,2018,92246.74747545162
Pakistan,PAK,2018,331803.56054466136
Panama,PAN,2018,32238.266112642395
Papua New Guinea,PNG,2018,173206.39062257358
Peru,PER,2018,943657.3046869354
Philippines,PHL,2018,1725920.624661472
Poland,POL,2018,106261.6545146555
Portugal,PRT,2018,440505.4028127943
Qatar,QAT,2018,0
Rest of the World,,2018,1175076.7804289807
Romania,ROU,2018,85693.520557366
Russia,RUS,2018,9231087.094285175
Rwanda,RWA,2018,1757.8063168952094
Saudi Arabia,SAU,2018,2198893.9303732286
Serbia,SRB,2018,0
Singapore,SGP,2018,0
South Africa,ZAF,2018,1449870.3786985837
South Korea,KOR,2018,1414946.2861301939
Spain,ESP,2018,2875440.390903558
Sri Lanka,LKA,2018,9598.2513076475
Suriname,SUR,2018,0
Sweden,SWE,2018,546191.1689928554
Switzerland,CHE,2018,33377.388124403355
Tajikistan,TJK,2018,393.50950652329016
Thailand,THA,2018,2586400.095120624
Trinidad and Tobago,TTO,2018,23025.865681606796
Tunisia,TUN,2018,16347.30406419335
Turkey,TUR,2018,3492615.8285987414
Turkmenistan,TKM,2018,75539.6317430503
Ukraine,UKR,2018,70446.48617653802
United Arab Emirates,ARE,2018,1327.3758249407317
United Kingdom,GBR,2018,1509466.104505561
United States,USA,2018,126102179.72399999
Uzbekistan,UZB,2018,54266.701545957585
Venezuela,VEN,2018,121017.5720022769
Vietnam,VNM,2018,2253919.049270177
World,OWID_WRL,2018,303154989.482488
