Entity,Code,Year,Domestic RPKs (billions)
Afghanistan,AFG,2018,348881972.4
Algeria,DZA,2018,1317484553.0259988
Angola,AGO,2018,407527074.613
Argentina,ARG,2018,16035447564.876001
Australia,AUS,2018,76294222671.99998
Austria,AUT,2018,200334737.61699998
Azerbaijan,AZE,2018,13518699.92
Bahrain,BHR,2018,0
Bangladesh,BGD,2018,813830008.32
Belarus,BLR,2018,0
Belgium,BEL,2018,0
Bolivia,BOL,2018,1674260831.2989829
Brazil,BRA,2018,95502955221.8503
Brunei,BRN,2018,0
Bulgaria,BGR,2018,105575684.32800001
Cambodia,KHM,2018,198792902.12199992
Canada,CAN,2018,63101233201.85059
Chile,CHL,2018,15382114774.316004
China,CHN,2018,767925528631.0001
Colombia,COL,2018,11762755366.699995
Costa Rica,CRI,2018,7919414.938400001
Croatia,HRV,2018,183125329.8962001
Cuba,CUB,2018,300016336.478
Czechia,CZE,2018,12957903.694000004
Democratic Republic of Congo,COD,2018,617205475.8590003
Denmark,DNK,2018,1373068485
Ecuador,ECU,2018,1701258351.2580009
Egypt,EGY,2018,933201078.8119998
El Salvador,SLV,2018,0
Ethiopia,ETH,2018,829146045.0749999
European Union,,2018,786934000000
Fiji,FJI,2018,517290887.0024997
Finland,FIN,2018,2003924741.8980994
France,FRA,2018,44713319002.00001
Georgia,GEO,2018,1987838.1720000003
Germany,DEU,2018,12347579190.053907
Greece,GRC,2018,2779811471.2883945
Hungary,HUN,2018,870816.4415999999
Iceland,ISL,2018,90146531.22999997
India,IND,2018,124908528849.30836
Indonesia,IDN,2018,86413608350.36182
Iran,IRN,2018,11626139730.252024
Iraq,IRQ,2018,306858597.3696
Ireland,IRL,2018,31831082.272000004
Israel,ISR,2018,309920146.06799996
Italy,ITA,2018,22123374372.999477
Japan,JPN,2018,95493895873.29521
Jordan,JOR,2018,23159602.29
Kazakhstan,KAZ,2018,4585552156.322002
Kenya,KEN,2018,1592938878.879001
Kuwait,KWT,2018,0
Kyrgyzstan,KGZ,2018,127804760.496
Latvia,LVA,2018,3233526.628
Lebanon,LBN,2018,0
Libya,LBY,2018,85132382.29800004
Luxembourg,LUX,2018,0
Madagascar,MDG,2018,201685315.09299985
Malaysia,MYS,2018,20069586395.424004
Malta,MLT,2018,0
Mauritius,MUS,2018,107518247.2
Mexico,MEX,2018,47750355786.57842
Moldova,MDA,2018,0
Mongolia,MNG,2018,91684521.19199996
Morocco,MAR,2018,397745786.3590002
Myanmar,MMR,2018,1565043626.6400003
Namibia,NAM,2018,101788824.528
Nepal,NPL,2018,443467747.8000003
Netherlands,NLD,2018,6355616059
New Zealand,NZL,2018,7662227713
Nigeria,NGA,2018,1878698134.844
Norway,NOR,2018,8945010183.649885
Oman,OMN,2018,785319069.9900002
Pakistan,PAK,2018,3625845104.877
Panama,PAN,2018,126319841.02800001
Papua New Guinea,PNG,2018,1002115644.1919994
Peru,PER,2018,8711333899.041988
Philippines,PHL,2018,16021057992.300022
Poland,POL,2018,596589053.4768999
Portugal,PRT,2018,4364961830.659
Qatar,QAT,2018,0
Rest of the World,,2018,5744787285.330403
Romania,ROU,2018,551063384.5129998
Russia,RUS,2018,100827305803.17438
Rwanda,RWA,2018,5784895.116
Saudi Arabia,SAU,2018,19241077868.154705
Serbia,SRB,2018,0
Singapore,SGP,2018,0
South Africa,ZAF,2018,12682820144.103012
South Korea,KOR,2018,10915135309.374994
Spain,ESP,2018,28891882686.085636
Sri Lanka,LKA,2018,10348797.885999998
Suriname,SUR,2018,0
Sweden,SWE,2018,4428337408.6255045
Switzerland,CHE,2018,189838894.796
Tajikistan,TJK,2018,1934703.7920000001
Thailand,THA,2018,22979583271.336956
Trinidad and Tobago,TTO,2018,64741307.084
Tunisia,TUN,2018,98890775.155
Turkey,TUR,2018,33687074026.85851
Turkmenistan,TKM,2018,474538886.62000006
Ukraine,UKR,2018,434694985.4759999
United Arab Emirates,ARE,2018,1887098.8164000004
United Kingdom,GBR,2018,12013114006.392
United States,USA,2018,1327533234232.0002
Uzbekistan,UZB,2018,413071773.11999995
Venezuela,VEN,2018,622833464.9859996
Vietnam,VNM,2018,25932361355.052013
World,OWID_WRL,2018,3205679584244.8955
